experiment_type,experiment_name,experiment_code,country,age,age_num,mean_C_tr,mean_lambda_xr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
C_weights,C1_base_20_70_10,C1,ES,73,73.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,74,74.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,75,75.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,76,76.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,77,77.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,78,78.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,79,79.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,80,80.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,81,81.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,82,82.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,83,83.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,84,84.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,85,85.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,20,20.0,2.370625754874766,0.04530158995800462,0.10739311589122183,0.11549722074210893,11.549722074210893,11.631921949849012,-2.4018369665133488,25.387474849469484,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,21,21.0,2.370625754874766,0.052642722357474664,0.12479619342735108,0.1358368629723532,13.58368629723532,13.640339580071338,-2.7855866692342857,30.06973741088035,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,22,22.0,2.370625754874766,0.034029986241775084,0.08067236182278595,0.08518410109916684,8.518410109916683,8.61706123350936,-1.8096755510964568,18.524270232098527,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,23,23.0,2.370625754874766,0.02736674270956047,0.06487630509431527,0.06777115455806937,6.777115455806937,6.8732530267797465,-1.4579291436271347,14.645087228349073,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,24,24.0,2.370625754874766,0.05338521608923529,0.1265563681906959,0.13792086750939178,13.792086750939179,13.845475518155915,-2.824315598578564,30.552938241482774,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,25,25.0,2.370625754874766,0.024678232862403397,0.058502854408410306,0.060849374363372524,6.084937436337252,6.177607275742347,-1.315648697043581,13.116085498993835,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,26,26.0,2.370625754874766,0.009663791121711377,0.022909232122859093,0.023262751062446928,2.326275106244693,2.375086315508246,-0.5172737298776986,4.944503685420698,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,27,27.0,2.370625754874766,0.026671813654293833,0.0632288883780894,0.06597632046527757,6.597632046527758,6.693006143426894,-1.4211720044233433,14.247899611919301,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,28,28.0,2.370625754874766,0.028679621376060952,0.06798864907414696,0.07117287025338476,7.117287025338476,7.214611769718693,-1.527334318496698,15.399237232213569,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,29,29.0,2.370625754874766,0.035817093552750666,0.08490892444090965,0.08991764407740804,8.991764407740803,9.089577080025268,-1.903801560621543,19.58682312242668,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,30,30.0,2.370625754874766,0.025746336542969695,0.06103492850243731,0.06359219740182943,6.359219740182943,6.453432886299271,-1.3721991125860589,13.721077688978166,0.0,0.0
C_weights,C1_base_20_70_10,C1,FR,31,31.0,2.370625754874766,0.062393610338113845,0.14791189960715312,0.16360582293477427,16.360582293477428,16.36401074274838,-3.2929716117121255,36.56042664565737,0.0,0.0
