country,year,n_obs,C_tr,mean_baseline_residual,rmse_baseline_residual,mae_baseline_residual,mean_residual_after_climate,rmse_residual_after_climate,mae_residual_after_climate,rmse_change,rmse_change_pct,mae_change,mae_change_pct
ES,2014,66,-0.8140141119953538,-0.006897111724202265,0.060479567759069694,0.04206492513858602,-0.0226736380926722,0.06567901160351242,0.042005574378692914,0.005199443844442722,8.597025470081997,-5.935075989310645e-05,-0.1410932260014037
ES,2015,66,0.9825283119021554,-0.016938114007764633,0.06523276452711961,0.04625008311082854,0.0021044106758628172,0.06253711568619613,0.048797778131977936,-0.0026956488409234786,-4.1323541328726,0.0025476950211493973,5.508519876698136
ES,2016,66,0.3425371924327494,-0.015887334166163024,0.06540556426438866,0.040936233388919274,-0.009248570821691948,0.06378491115836346,0.03921968446052751,-0.0016206531060252022,-2.47785203637116,-0.0017165489283917645,-4.193226357890573
ES,2017,66,0.826966560964002,-0.029493840949581237,0.05135064266224301,0.032723996406992306,-0.013466281276308709,0.03778348813166931,0.025130884966849967,-0.013567154530573701,-26.420612921655465,-0.007593111440142339,-23.203496741980693
ES,2018,66,-0.6979353566189623,-0.014135513778327327,0.06213202744640757,0.04473663965415231,-0.027662300838806907,0.07416780071246391,0.054761831374943164,0.012035773266056343,19.371286855942188,0.010025191720790853,22.40935349255797
ES,2019,66,-0.3003131680195666,-0.03032911858699408,0.06013079666874974,0.04409387710556761,-0.03614953194868096,0.06628805565676509,0.04906673408548818,0.006157258988015342,10.239776169829623,0.004972856979920573,11.277885516882035
ES,2022,66,2.327920950224724,-0.024105245249653958,0.08041874304575357,0.0581375260954182,0.021012530614093687,0.05784824487353222,0.04101517294316458,-0.02257049817222135,-28.06621605535423,-0.017122353152253626,-29.451465004120692
ES,2023,66,1.2835362490354083,-0.00046231411398103893,0.08765696232870258,0.06927148761622225,0.02441408935297715,0.08368513579567298,0.06365233827688131,-0.003971826533029604,-4.531102182318108,-0.005619149339340934,-8.111778067293912
ES,2024,66,1.1216824305605424,-0.04262792472112528,0.0611333808424176,0.045404429403871766,-0.020888433744230706,0.03986013072836442,0.02988925040303713,-0.021273250114053184,-34.79809200948472,-0.015515179000834635,-34.17106922064219
ES,2025,66,1.411853401690438,-0.04679725426731477,0.06731868072741656,0.05001161826072435,-0.0194339173276349,0.04262089507351872,0.03248321624036256,-0.024697785653897845,-36.68786343853482,-0.017528402020361794,-35.04865995133651
FR,2004,66,-0.82289502973569,-0.05515328389843807,0.07138442956530551,0.05596211430941949,-0.04307384247904025,0.059476423194915966,0.04654533009875428,-0.011908006370389544,-16.681517864474344,-0.009416784210665212,-16.827070111395322
FR,2005,66,-0.1334079590928178,-0.04590521496073329,0.0677353051560269,0.05075906116915772,-0.043946892734311876,0.06531855441773268,0.0486672789801138,-0.0024167507382942127,-3.56793363922592,-0.0020917821890439198,-4.121002518295061
FR,2006,66,0.4106559983265795,-0.041678388383976674,0.06398104451913045,0.047682649451468856,-0.047706490263390786,0.0725891324387416,0.05574658654381943,0.008608087919611151,13.454122208081985,0.008063937092350572,16.911680003347975
FR,2007,66,-1.264213456897575,-0.04248900651672758,0.058788323382127056,0.04563218779901811,-0.0239313632665142,0.03560518280091663,0.02724068093279338,-0.023183140581210425,-39.434940898924516,-0.018391506866224733,-40.30380254224951
FR,2008,66,-1.1075799904794972,-0.0235528647811819,0.04290247077300239,0.03268895329313016,-0.007294475644244791,0.02714046394210074,0.0196332788536574,-0.015762006830901648,-36.73915871721855,-0.01305567443947276,-39.93910212541591
FR,2009,66,-0.3903757908117583,-0.00778675366513564,0.03692183263413617,0.029115851614290585,-0.002056349025097486,0.03236201997105656,0.025471441385951973,-0.0045598126630796085,-12.349908814829043,-0.0036444102283386126,-12.516928155211062
FR,2010,66,-1.0028803721504842,0.012747986997878795,0.03643408012974506,0.028810953623599717,0.027469469408517112,0.04046966786293798,0.03026306820466476,0.004035587733192916,11.076409007231204,0.0014521145810650442,5.040147577328311
FR,2011,66,-0.7233790471488102,0.002557600467328127,0.036156140468058914,0.029375030079270923,0.01317622679061565,0.03695903386424014,0.02709442522217591,0.0008028933961812257,2.2206280476493845,-0.0022806048570950116,-7.763753265751942
FR,2012,66,-0.5818382976357359,0.004563984608224274,0.03861993405107792,0.03007424755571051,0.013104905841046005,0.033876906437838965,0.027090442826792262,-0.0047430276132389565,-12.281293921853742,-0.0029838047289182483,-9.921460955559908
FR,2013,66,-0.2188878859874988,0.021041328735115532,0.03567020213799018,0.02940109721766869,0.02425442797700921,0.036181037913620685,0.03000272545533763,0.0005108357756305054,1.4321078800011762,0.00060162823766894,2.0462781821196434
FR,2014,66,-1.0279440452071928,0.009644562998928073,0.03975833629625182,0.027921741080103583,0.024733960100387524,0.048180748521305876,0.03335075651531976,0.008422412225054056,21.184015755327444,0.005429015435216178,19.443685190121524
FR,2015,66,0.5049054990315408,0.01414793409583458,0.04064523056219262,0.028098883334228737,0.006736324865624158,0.040631451469413854,0.029269943016458043,-1.3779092778769264e-05,-0.03390088477339405,0.0011710596822293064,4.167637796491281
FR,2016,66,-0.0706258092878385,0.017825620303011564,0.03524671197404967,0.029047288104450314,0.018862350742693552,0.03587243010700557,0.02955888751559731,0.0006257181329559006,1.7752524928185769,0.0005115994111469964,1.7612639407415613
FR,2017,66,-0.1429556351528915,-0.00891687630699354,0.03170323408483388,0.025627549622646552,-0.006818401826042054,0.03211629988735694,0.02617663713504964,0.0004130658025230591,1.3029137703041487,0.0005490875124030889,2.142567356177788
FR,2018,66,0.8348579122191194,0.007408086771929634,0.03832008415959067,0.027932083233395803,-0.004846960202179266,0.033391737649738185,0.0237876375004806,-0.004928346509852487,-12.861001268492858,-0.004144445732915204,-14.837581924287246
FR,2019,66,0.5021670522179476,0.016885660514659367,0.047059594094068305,0.03380030451385034,0.009514249495240863,0.03919922726006613,0.02654549901319238,-0.007860366834002173,-16.703006018900076,-0.007254805500657959,-21.463728226723994
FR,2022,66,1.816053803360528,0.0015246889905385658,0.054772978028615756,0.045792947499658954,-0.025133529542163156,0.040276604064656406,0.030422869263242273,-0.01449637396395935,-26.46628773112505,-0.01537007823641668,-33.56429117503552
FR,2023,66,1.2804454955660556,0.03559895380459158,0.07759068526586296,0.06350028805475105,0.016803037198569626,0.047646706149532675,0.036828238888002365,-0.029943979116330288,-38.592234381907865,-0.026672049166748688,-42.003036496073186
