country,age,age_num,lambda_xr,n_obs,weighted,intercept,r_squared,rmse_residual_after_climate,mean_C_tr,sd_C_tr,status
ES,60,60.0,0.00016806373790831286,20,False,0.0,5.891415154068991e-05,0.02105699927485927,-1.1102230246251566e-17,0.961712079266725,estimated
ES,61,61.0,0.000976080071276405,20,False,0.0,0.001621240543862812,0.023294556966430666,-1.1102230246251566e-17,0.961712079266725,estimated
ES,62,62.0,0.0036462507649648638,20,False,0.0,0.03287095516773031,0.019020750778973188,-1.1102230246251566e-17,0.961712079266725,estimated
ES,63,63.0,0.00570633849258581,20,False,0.0,0.12985464484378562,0.014205932916556557,-1.1102230246251566e-17,0.961712079266725,estimated
ES,64,64.0,0.005077161052295929,20,False,0.0,0.041844828340723894,0.023364852271825196,-1.1102230246251566e-17,0.961712079266725,estimated
ES,65,65.0,0.009843308735534526,20,False,0.0,0.1731535992730262,0.020686300836670973,-1.1102230246251566e-17,0.961712079266725,estimated
ES,66,66.0,-0.000432995806356754,20,False,0.0,0.00023844522865545947,0.02696389696195967,-1.1102230246251566e-17,0.961712079266725,estimated
ES,67,67.0,0.0037702985620496174,20,False,0.0,0.01976691125914476,0.025533837271932872,-1.1102230246251566e-17,0.961712079266725,estimated
ES,68,68.0,0.005512961638150011,20,False,0.0,0.05763884883487347,0.021437842658344416,-1.1102230246251566e-17,0.961712079266725,estimated
ES,69,69.0,0.0012423699409680445,20,False,0.0,0.0024335173405553023,0.024190770862709973,-1.1102230246251566e-17,0.961712079266725,estimated
ES,70,70.0,-0.005748135177942354,20,False,0.0,0.05749299760786597,0.022382410680639064,-1.1102230246251566e-17,0.961712079266725,estimated
ES,71,71.0,-0.0009415248146464615,20,False,0.0,0.002610575840066187,0.017698687607977426,-1.1102230246251566e-17,0.961712079266725,estimated
ES,72,72.0,-0.0076712366358034755,20,False,0.0,0.1284366173070074,0.01921832392157475,-1.1102230246251566e-17,0.961712079266725,estimated
ES,73,73.0,-0.007171573646715354,20,False,0.0,0.19077446470344528,0.014204769832774399,-1.1102230246251566e-17,0.961712079266725,estimated
ES,74,74.0,-0.007373793170530252,20,False,0.0,0.13106594959990214,0.0182593154450024,-1.1102230246251566e-17,0.961712079266725,estimated
ES,75,75.0,-0.009725255571321695,20,False,0.0,0.1686566660788298,0.020765124901999225,-1.1102230246251566e-17,0.961712079266725,estimated
ES,76,76.0,-0.007460884535366459,20,False,0.0,0.13935588431651535,0.017831362782509498,-1.1102230246251566e-17,0.961712079266725,estimated
ES,77,77.0,-0.0079753877692031,20,False,0.0,0.09788379424582805,0.023284811336000567,-1.1102230246251566e-17,0.961712079266725,estimated
ES,78,78.0,-0.010159483472717449,20,False,0.0,0.1822351272607452,0.020697356373937284,-1.1102230246251566e-17,0.961712079266725,estimated
ES,79,79.0,-0.011536978481239996,20,False,0.0,0.16934222793329767,0.024573418970311508,-1.1102230246251566e-17,0.961712079266725,estimated
