country,year,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact
FR,2047,2.428984548597929,0.04649930576719392,0.04854247828430124,4.8542478284301245,4.318009893361763,0.0,16.364010742748157,0.0001510062784945998
FR,2048,0.9955594430265147,0.01905850861728559,0.019395134619087748,1.9395134619087746,1.7477605527337348,0.0,6.408635459164591,5.991908142888224e-05
FR,2049,0.0822692191937664,0.0015749221544976047,0.00157719287525502,0.157719287525502,0.14328317167386917,0.0,0.5146270397889507,4.8238305308545435e-06
FR,2050,0.6883521782072958,0.013177481276466237,0.013337746385331133,1.3337746385331133,1.2052068369316604,0.0,4.388442319735986,4.0033388203674286e-05
FR,2051,3.7794832713671664,0.07235260034022846,0.0773919138359345,7.73919138359345,6.798938361065154,0.0,26.594085739505612,0.00022460182260240893
FR,2052,1.8411007225261815,0.03524514204685359,0.036409631329249216,3.6409631329249215,3.2561239145705967,0.0,12.173088015917832,0.00010528092567188952
FR,2053,3.146396310013909,0.06023308965409371,0.06369525177050828,6.369525177050828,5.628666140433336,0.0,21.691020250276004,0.00017998137474525787
FR,2054,2.720823004035962,0.0520861200521476,0.05465999756601651,5.465999756601651,4.8492026389076015,0.0,18.50227471532804,0.00015250413961949506
FR,2055,3.6829556944506816,0.07050472307950369,0.07528354562464869,7.528354562464869,6.6196712724013835,0.0,25.833938399239265,0.0002056714736493672
FR,2056,3.8599010664346376,0.0738920797264289,0.07915396388791958,7.915396388791957,6.948517153733058,0.0,27.230874953066063,0.00021275131991036996
FR,2057,0.6348681429817581,0.012153608766016883,0.012289838697894444,1.2289838697894444,1.1110456789139023,0.0,4.0406721980494,3.3165618136261894e-05
FR,2058,0.9032877204121696,0.01729210337358539,0.0175688775937665,1.7568877593766499,1.5844960730641677,0.0,5.797783366634102,4.662505690594178e-05
FR,2059,3.45540106678024,0.06614852731164854,0.07034189324064719,7.034189324064718,6.198255985714796,0.0,24.059976945400052,0.00018109755073195195
FR,2060,4.520379565087179,0.08653596075861962,0.09381901812881915,9.381901812881916,8.184973868888068,0.0,32.583546607416444,0.0002363631037838681
IT,2030,2.495873296736202,0.026646534441644547,0.02761115235298683,2.761115235298683,1.0789409873283917,0.0,14.719694644744852,0.00025537732544965474
IT,2031,2.1346002813848566,0.022789498165410097,0.02349208868563033,2.349208868563033,0.922027396366687,0.0,12.461920431703998,0.0002141520214131334
IT,2032,1.6346362833749382,0.0174517641105705,0.017861375915106146,1.7861375915106146,0.7052890128864786,0.0,9.410508869047174,0.00016058714585573308
IT,2033,2.796965534256325,0.02986106648046373,0.03107675700169525,3.107675700169525,1.2099078431385357,0.0,16.635960883715395,0.00027333161137017766
IT,2034,4.285348631878761,0.04575139694115685,0.04865597060022406,4.865597060022406,1.8598847571188903,0.0,26.58925470715563,0.0004179085240164513
IT,2035,1.1530699202280763,0.012310447562847273,0.012513125127770528,1.2513125127770528,0.49697923514986364,0.0,6.549688723152158,0.0001073995942927985
IT,2036,3.644389684961992,0.038908367418371316,0.04099309352762559,4.099309352762559,1.5794527220215349,0.0,22.202857895765725,0.0003419489722960297
IT,2037,4.767634925157617,0.05090039963347839,0.05451631827910069,5.451631827910068,2.0714198455572985,0.0,29.9932788162264,0.00044488410352681965
IT,2038,5.510431749202038,0.0588306744518863,0.06370436241668925,6.370436241668925,2.3981023058901374,0.0,35.41593020246121,0.0005095381591499125
IT,2039,4.584573397715322,0.048945991409988045,0.052282248058416116,5.228224805841611,1.991074214969113,0.0,28.690565604941987,0.0004134278505916051
IT,2040,3.851363765529417,0.04111807172250391,0.043452043691296564,4.345204369129657,1.6699209162415962,0.0,23.602408327517587,0.000339345404743397
IT,2041,3.7811376342905216,0.04036832091295452,0.04261607727827267,4.2616077278272675,1.6392158397210088,0.0,23.12575456111128,0.0003275877060299302
IT,2042,2.063712368906586,0.022032682022612052,0.02268883767876432,2.268883767876432,0.8912677244337641,0.0,12.024149285240249,0.00017308264999051393
IT,2043,2.8572831000607963,0.03050503109867844,0.03177462262854332,3.177462262854332,1.2361653264967742,0.0,17.02367642246103,0.00023757155398155383
IT,2044,2.859185427227394,0.03052534079405853,0.03179665193285974,3.1796651932859747,1.2369935629165885,0.0,17.035925341719825,0.00023392171473875296
IT,2045,2.2643530086653723,0.02417476901265175,0.02496657364967838,2.496657364967838,0.9783546927019326,0.0,13.267649822760763,0.0001812633069288072
IT,2046,4.775249337091543,0.05098169289869162,0.05460950146773584,5.460950146773584,2.0747632191588705,0.0,30.047749689434887,0.0003852247992880704
IT,2047,4.04045086812966,0.0431368104134851,0.04571136875344195,4.571136875344195,1.752643237495577,0.0,24.89501376475216,0.0003184873338309274
IT,2048,3.9800018947493676,0.0424914428568682,0.04498774579467443,4.498774579467443,1.7261903294498504,0.0,24.480319410306507,0.000308523918201317
IT,2049,2.620547377369998,0.027977584454452926,0.029042538572200818,2.904253857220082,1.1331496099655447,0.0,15.509319163459413,0.0001973277373111642
IT,2050,3.9371446244148633,0.04203388848840863,0.04447547496854227,4.447547496854227,1.7074399673648544,0.0,24.187142767135583,0.0002953975452251135
IT,2051,4.407943101948051,0.047060244539041056,0.05013788046415773,5.0137880464157725,1.913612970363332,0.0,27.44599524815905,0.00032689956484494313
IT,2052,3.6588612303116506,0.0390628690639828,0.04116454534008784,4.116454534008783,1.5857755264514939,0.0,22.30019653628745,0.000265113925880329
IT,2053,4.552768215210977,0.04860643174879328,0.051895308349313676,5.189530834931368,1.9771215736716807,0.0,28.465566512350126,0.0003273951740402369
IT,2054,3.774825883732602,0.04030093516911543,0.04254102565243023,4.2541025652430235,1.6364566112159418,0.0,23.08300423597942,0.0002651475455425827
IT,2055,3.503224955380588,0.03740125933173277,0.039324389245927925,3.932438924592792,1.5177972832594588,0.0,21.257408668761336,0.00024152087774207307
IT,2056,4.152606288438156,0.044334208243725734,0.04705731408467932,4.705731408467932,1.8017420221249303,0.0,25.668089619232926,0.0002834735024654574
IT,2057,4.16369999026402,0.044452647231864595,0.04719068388750454,4.719068388750454,1.8065998875321343,0.0,25.74481695968991,0.00027973154744927626
IT,2058,4.14045077183339,0.04420443306952581,0.046911228152471944,4.691122815247195,1.7964194684092494,0.0,25.584072204774678,0.00027367879921336093
IT,2059,4.266570529079909,0.04555091746824745,0.04842944703067723,4.842944703067722,1.8516576476803714,0.0,26.458535223786605,0.00027785978657925175
IT,2060,4.856649627661132,0.05185074167975708,0.05560694587517427,5.560694587517427,2.1105119068511535,0.0,30.631487427805414,0.00031301477924214165
