country,year,age,age_num,mx,log_mx,mx_hat_baseline,log_mx_hat_baseline,baseline_residual,C_tr,lambda_xr,climate_component,residual_after_climate,mx_hat_climate_adjusted,log_mx_hat_climate_adjusted
ES,2023,42,42.0,0.00078,-7.156216638280637,0.0008433825585064,-7.0780898968437285,-0.0781267414369084,1.2835362490354083,-0.06685808661838182,-0.08581477771584223,0.00768803627893383,0.0007740263240444272,-7.1639046745595705
ES,2023,43,43.0,0.0009,-7.013115794639964,0.000956282772714,-6.952456901291546,-0.0606588933484175,1.2835362490354083,-0.055319343304923656,-0.07100438240470373,0.010345489056286232,0.0008907370573024171,-7.02346128369625
ES,2023,44,44.0,0.00102,-6.887952651685957,0.0010436909192479,-6.864991887714637,-0.0229607639713202,1.2835362490354083,-0.05846501607827734,-0.07504196743690693,0.05208120346558673,0.00096823681680235,-6.940033855151544
ES,2023,45,45.0,0.00104,-6.868534565828856,0.0011886783614435,-6.734913209690526,-0.1336213561383301,1.2835362490354083,-0.06937338850449987,-0.08904325886394188,-0.04457809727438822,0.0010874100962274598,-6.823956468554468
ES,2023,46,46.0,0.00121,-6.717134919373487,0.0013146785994531,-6.634163054287908,-0.0829718650855797,1.2835362490354083,-0.056673391960445775,-0.07274235293702404,-0.010229512148555664,0.001222441235092103,-6.706905407224933
ES,2023,47,47.0,0.00129,-6.653113060608557,0.0015024358243147,-6.500667605069641,-0.152445455538916,1.2835362490354083,-0.07278151966673327,-0.09341771875213561,-0.05902773678678039,0.0013684380161018946,-6.594085323821776
ES,2023,48,48.0,0.00146,-6.529318843261892,0.0016888574502658,-6.383703043613571,-0.1456157996483211,1.2835362490354083,-0.048721874347788935,-0.0625362918463355,-0.08307950780198561,0.0015864771727790183,-6.446239335459906
ES,2023,49,49.0,0.00165,-6.406979991069647,0.0018758452658089,-6.278695912711903,-0.1282840783577441,1.2835362490354083,-0.05394366444828174,-0.06923864872517226,-0.05904542963257185,0.0017503586635660045,-6.347934561437076
ES,2023,50,50.0,0.00181,-6.3144284337044025,0.0021086087349636,-6.161726916288194,-0.1527015174162089,1.2835362490354083,-0.04477692155218655,-0.057472801932446256,-0.09522871548376266,0.001990837811144153,-6.21919971822064
ES,2023,51,51.0,0.00211,-6.161067331494162,0.0023692237290427,-6.045192917976504,-0.1158744135176581,1.2835362490354083,-0.022027610039892332,-0.028273235965818103,-0.08760117755184,0.0023031761959152962,-6.073466153942322
ES,2023,52,52.0,0.00224,-6.101279413115189,0.0026368405664399,-5.93817383364356,-0.1631055794716287,1.2835362490354083,-0.031745896598611774,-0.04074700904244808,-0.12235857042918064,0.0025315567666590673,-5.9789208426860085
ES,2023,53,53.0,0.00262,-5.944580961209131,0.0028987249363052,-5.843484315812173,-0.1010966453969581,1.2835362490354083,-0.018478897704762805,-0.023718335046280268,-0.07737831035067784,0.0028307809513396748,-5.867202650858453
ES,2023,54,54.0,0.00295,-5.825950108630408,0.0032209707349412,-5.738072494380253,-0.0878776142501553,1.2835362490354083,-0.02276082068967687,-0.029214338412995363,-0.05866327583715994,0.0031282334310358314,-5.767286832793248
ES,2023,55,55.0,0.00331,-5.710807089593166,0.003507961696391,-5.6527201234625375,-0.0580869661306282,1.2835362490354083,-0.011802718253971015,-0.0151492167161237,-0.0429377494145045,0.003455219335833997,-5.667869340178661
ES,2023,56,56.0,0.00364,-5.615771597333488,0.0039265854799555,-5.5399850653734335,-0.0757865319600545,1.2835362490354083,-0.009497846384814686,-0.012190830122679555,-0.06359570183737494,0.0038790077387220842,-5.552175895496113
ES,2023,57,57.0,0.00407,-5.504112279527633,0.0042725124791676,-5.455553222167167,-0.0485590573604666,1.2835362490354083,0.0016563685822196309,0.0021260091170422824,-0.05068506647750888,0.0042816055421935175,-5.453427213050126
ES,2023,58,58.0,0.00455,-5.392628046019278,0.0046168309881034,-5.378046742559318,-0.01458130345996,1.2835362490354083,-0.002887731778581961,-0.003706508415301439,-0.010874795044658561,0.004599750339532637,-5.3817532509746195
ES,2023,59,59.0,0.00484,-5.3308405582535965,0.0050742782678512,-5.283570977398833,-0.0472695808547634,1.2835362490354083,0.0021529251198846968,0.0027633574328309106,-0.05003293828759431,0.00508831970423754,-5.280807619966002
ES,2023,60,60.0,0.00533,-5.234404040804384,0.0055500442116666,-5.193949385189455,-0.040454655614929,1.2835362490354083,0.00016806373790831286,0.00021571589975370584,-0.04067037151468271,0.005551241573587825,-5.193733669289702
ES,2023,61,61.0,0.00587,-5.137900645142132,0.0059667006995897,-5.121561150977944,-0.0163394941641881,1.2835362490354083,0.000976080071276405,0.0012528341534443308,-0.01759232831763243,0.005974180670612799,-5.1203083168245
ES,2023,62,62.0,0.00657,-5.025241446485618,0.0065334374930869,-5.030822058721423,0.0055806122358053,1.2835362490354083,0.0036462507649648638,0.004680095029905489,0.0009005172058998111,0.0065640862650669035,-5.026141963691518
ES,2023,63,63.0,0.00707,-4.951894799073656,0.0070571931719081,-4.95370787424637,0.0018130751727145,1.2835362490354083,0.00570633849258581,0.007324292304499956,-0.005511217131785456,0.007109071873013898,-4.94638358194187
ES,2023,64,64.0,0.00764,-4.874357675803708,0.007587512946252,-4.881251416337411,0.0068937405337035,1.2835362490354083,0.005077161052295929,0.0065167202528125835,0.0003770202808909169,0.007637120107976955,-4.874734696084599
ES,2023,65,65.0,0.00831,-4.79029567011478,0.0082451559211027,-4.7981294121605735,0.0078337420457934,1.2835362490354083,0.009843308735534526,0.012634243572505453,-0.004800501526712053,0.008349988072294916,-4.785495168588068
ES,2023,66,66.0,0.0088,-4.733003557497976,0.008918640912276,-4.719611708093422,-0.0133918494045541,1.2835362490354083,-0.000432995806356754,-0.00055576581313921,-0.01283608359141489,0.008913685613677651,-4.720167473906561
ES,2023,67,67.0,0.01011,-4.594230245949757,0.0096875270704625,-4.63691608993625,0.0426858439864927,1.2835362490354083,0.0037702985620496174,0.00483931487407676,0.03784652911241594,0.009734521683458737,-4.632076775062173
ES,2023,68,68.0,0.0107,-4.537511537514277,0.0103917705993567,-4.566741074592214,0.0292295370779367,1.2835362490354083,0.005512961638150011,0.007076086102107165,0.022153450975829533,0.010465564440748223,-4.559664988490106
ES,2023,69,69.0,0.01178,-4.441352100758697,0.0114247458937101,-4.4719735836999615,0.0306214829412647,1.2835362490354083,0.0012423699409680445,0.0015946268539444655,0.029026856087320235,0.011442978633656556,-4.470378956846017
ES,2023,70,70.0,0.0124,-4.390058806371146,0.0123959319223617,-4.390386930975417,0.0003281246042714,1.2835362490354083,-0.005748135177942354,-0.007377939865244609,0.007706064469516009,0.012304812033928168,-4.397764870840661
ES,2023,71,71.0,0.01354,-4.302107011498008,0.0135418517579722,-4.30197025881273,-0.000136752685278,1.2835362490354083,-0.0009415248146464615,-0.0012084812289650773,0.0010717285436870772,0.013525496568777308,-4.303178740041695
ES,2023,72,72.0,0.01452,-4.232228269585487,0.014778420672898,-4.214587224861814,-0.017641044723673,1.2835362490354083,-0.0076712366358034755,-0.009846310296982198,-0.0077947344266908036,0.014633621794447535,-4.224433535158797
ES,2023,73,73.0,0.01623,-4.1208938974556375,0.0163014902887058,-4.1164987465938125,-0.0043951508618249,1.2835362490354083,-0.007171573646715354,-0.00920497473818621,0.0048098238763613094,0.01615212399355877,-4.125703721331999
ES,2023,74,74.0,0.01833,-3.999216217130523,0.0181562645785271,-4.008739621982137,0.0095234048516137,1.2835362490354083,-0.007373793170530252,-0.00946453082726531,0.018987935678879013,0.0179852346882485,-4.018204152809402
ES,2023,75,75.0,0.01984,-3.9200551771254095,0.0201694810173462,-3.9035846577711313,-0.0164705193542791,1.2835362490354083,-0.009725255571321695,-0.012482718056924955,-0.003987801297354144,0.019919275941032252,-3.916067375828056
ES,2023,76,76.0,0.02245,-3.7964646647938736,0.0224137532967795,-3.798080522070342,0.0016158572764686,1.2835362490354083,-0.007460884535366459,-0.009576315751010549,0.011192173027479149,0.02220013658109276,-3.807656837821353
ES,2023,77,77.0,0.02469,-3.701356975625049,0.0251889814440482,-3.681348624367717,-0.0200083512573323,1.2835362490354083,-0.0079753877692031,-0.010236699301885819,-0.00977165195544648,0.02493244470024128,-3.6915853236696026
ES,2023,78,78.0,0.02777,-3.5837989776634287,0.0283485910148359,-3.5631779496964966,-0.0206210279669321,1.2835362490354083,-0.010159483472717449,-0.013040065308708979,-0.007580962658223122,0.027981323338107128,-3.5762180150052054
ES,2023,79,79.0,0.03127,-3.465096107512387,0.0322725776260245,-3.433537399255928,-0.0315587082564587,1.2835362490354083,-0.011536978481239996,-0.014808130085013006,-0.016750578171445693,0.03179820207421903,-3.448345529340941
ES,2023,80,80.0,0.03421,-3.375237279992624,0.0364813082378626,-3.3109552526355093,-0.0642820273571147,1.2835362490354083,-0.016322359065892727,-0.02095033953084504,-0.043331687826269664,0.0357249629531889,-3.3319055921663545
ES,2023,81,81.0,0.03957,-3.229684023584804,0.0417034469730079,-3.1771714923704204,-0.0525125312143837,1.2835362490354083,-0.01826100180196255,-0.023438657756519845,-0.029073873457863855,0.04073734050043291,-3.2006101501269404
ES,2023,82,82.0,0.04452,-3.111816752574793,0.047610196226514,-3.044708334244316,-0.0671084183304771,1.2835362490354083,-0.017966093037375695,-0.023060131667014365,-0.04404828666346273,0.04652486091569734,-3.0677684659113305
ES,2023,83,83.0,0.05106,-2.974753867168799,0.054633345478254,-2.9071108596017554,-0.0676430075670437,1.2835362490354083,-0.01845517084037204,-0.023687880755758773,-0.043955126811284925,0.05335440480461027,-2.930798740357514
ES,2023,84,84.0,0.05867,-2.8358267560443684,0.0629666448283644,-2.7651501399660647,-0.0706766160783036,1.2835362490354083,-0.017377193738358086,-0.02230425806969372,-0.04837235800860988,0.06157776705423778,-2.7874543980357585
ES,2023,85,85.0,0.06829,-2.6839919360091398,0.0726354392872751,-2.622302331802305,-0.0616896042068337,1.2835362490354083,-0.014196355926147354,-0.018221537435418763,-0.04346806677141493,0.07132389537294778,-2.640523869237724
ES,2024,20,20.0,0.0001729154306827,-8.662707922972107,0.000185143749425,-8.594378010693397,-0.0683299122787097,1.1216824305605424,-0.022396395195866847,-0.02512164299909438,-0.043208269279615324,0.0001805505699156979,-8.619499653692491
ES,2024,21,21.0,0.0001860730179065,-8.58937139189649,0.0001955409491713,-8.539740741795335,-0.0496306501011556,1.1216824305605424,0.009528202766377263,0.010687617637863732,-0.060318267739019334,0.0001976420238102154,-8.529053124157471
ES,2024,22,22.0,0.0001858310403781,-8.590672682146788,0.0001973794194582,-8.530382694463508,-0.06028998768328,1.1216824305605424,-0.0030970907591287545,-0.0034739522903661367,-0.05681603539291386,0.00019669492241542377,-8.533856646753874
ES,2024,23,23.0,0.0001985524118403,-8.524457453191589,0.0002035093201977,-8.499798754632607,-0.0246586985589818,1.1216824305605424,0.007365083306666807,0.008261284544702902,-0.0329199831036847,0.00020519753239860289,-8.491537470087904
ES,2024,24,24.0,0.0002119251627321,-8.459277351594201,0.0002138605279214,-8.450186494101287,-0.0090908574929144,1.1216824305605424,0.01800911873033555,0.02020051206969617,-0.029291369562610567,0.00021822454943376705,-8.42998598203159
ES,2024,25,25.0,0.0002142114299273,-8.448547040369139,0.0002259504413236,-8.395194868917217,-0.0533521714519213,1.1216824305605424,-0.011029524909087455,-0.012371624307953263,-0.04098054714396804,0.0002231722879210522,-8.40756649322517
ES,2024,26,26.0,0.0002103495760157,-8.466739763543277,0.0002284303003971,-8.384279425246138,-0.0824603382971389,1.1216824305605424,-0.031097271331795188,-0.0348812628912487,-0.0475790754058902,0.00022059972711962,-8.419160688137387
ES,2024,27,27.0,0.0002224474995205,-8.410819441411498,0.0002339337757555,-8.360472492253166,-0.0503469491583317,1.1216824305605424,-0.0079235688913933,-0.00888772801281194,-0.04145922114551975,0.00023186384808622976,-8.369360220265978
ES,2024,28,28.0,0.0002236225066513,-8.405551165884301,0.0002424273793879,-8.324808358877004,-0.0807428070072973,1.1216824305605424,-0.021477533117638545,-0.024090971549837345,-0.056651835457459956,0.00023665685613028658,-8.34889933042684
ES,2024,29,29.0,0.0002538400411785,-8.278806248467081,0.0002681862081144,-8.223829012322254,-0.0549772361448273,1.1216824305605424,-0.004275024603181553,-0.004795219987602802,-0.0501820161572245,0.00026690327468129624,-8.228624232309857
ES,2024,30,30.0,0.0002620812616443,-8.24685594334481,0.0002841874265158,-8.165876584955369,-0.0809793583894418,1.1216824305605424,-0.028005810153739617,-0.031413625203063775,-0.049565733186378025,0.0002753988327226824,-8.197290210158432
ES,2024,31,31.0,0.0002680176884012,-8.224457578134405,0.0002965210220678,-8.12339244130506,-0.1010651368293444,1.1216824305605424,-0.036588221796833145,-0.04104036555496002,-0.06002477127438438,0.00028459802643348653,-8.16443280686002
