country,age,age_num,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_absolute_mx_impact,lambda_xr
FR,26,26.0,2.370625754874766,0.022909232122858912,0.023262751062446692,2.326275106244669,2.375086315508246,-0.5172737298776986,4.94450368542052,4.903755027269936e-06,0.0096637911217113
FR,27,27.0,2.370625754874766,0.06322888837808932,0.0659763204652775,6.597632046527751,6.693006143426894,-1.4211720044233433,14.247899611919301,1.2855124183229771e-05,0.0266718136542938
FR,28,28.0,2.370625754874766,0.06798864907414685,0.07117287025338465,7.117287025338464,7.214611769718693,-1.527334318496698,15.399237232213569,1.6088934402335572e-05,0.0286796213760609
FR,29,29.0,2.370625754874766,0.08490892444090951,0.08991764407740792,8.991764407740792,9.089577080025268,-1.903801560621543,19.58682312242668,2.1399593823464044e-05,0.0358170935527506
FR,30,30.0,2.370625754874766,0.06103492850243709,0.06359219740182924,6.359219740182924,6.453432886299271,-1.3721991125860589,13.721077688978077,1.604726772761634e-05,0.0257463365429696
FR,31,31.0,2.370625754874766,0.147911899607153,0.16360582293477408,16.360582293477407,16.364010742748157,-3.2929716117121255,36.56042664565724,4.2473883735202426e-05,0.0623936103381138
FR,32,32.0,2.370625754874766,0.08183296736987174,0.08647816823757648,8.64781682375765,8.746302943654438,-1.8354703324061417,18.81441392643104,2.453339464167508e-05,0.0345195639596832
FR,33,33.0,2.370625754874766,0.10851360583686515,0.11679240260422669,11.679240260422668,11.760157206266886,-2.4265900947979424,25.683797579723322,3.556572557964803e-05,0.0457742457297304
FR,34,34.0,2.370625754874766,0.0921368993614327,0.09805618242609951,9.80561824260995,9.90048364078213,-2.0641811576677216,21.421674031303684,3.3166892586693225e-05,0.0388660669749199
FR,35,35.0,2.370625754874766,0.1116663462698796,0.1204472242123144,12.04472242123144,12.121765702004739,-2.4962046883599487,26.521328230386242,3.860875778415871e-05,0.047104164813977
FR,36,36.0,2.370625754874766,0.10481616801725717,0.11252594374357444,11.252594374357443,11.337559395235175,-2.344884895119237,24.708628209698304,3.961721189804933e-05,0.0442145571909533
FR,37,37.0,2.370625754874766,0.09105729765833091,0.09683552922000703,9.683552922000704,9.778981274237841,-2.040242832833483,21.145834705703216,3.88862403586523e-05,0.0384106590722251
FR,38,38.0,2.370625754874766,0.11297315777281419,0.12196672378823635,12.196672378823633,12.271995270399639,-2.525045388283731,26.87011885823121,5.162591561577281e-05,0.047655416524732
FR,39,39.0,2.370625754874766,0.11090673987913253,0.11956522305438193,11.956522305438193,12.034534612633019,-2.479436619989628,26.319028598510187,5.51435977717164e-05,0.0467837403905162
FR,40,40.0,2.370625754874766,0.08698983329784839,0.09225257560231957,9.225257560231958,9.32241898308439,-1.950001192192885,20.112209520811586,4.578276504821877e-05,0.0366948824035044
FR,41,41.0,2.370625754874766,0.05428269733201153,0.056298640446656625,5.629864044665663,5.719481542038474,-1.2213251899822364,12.114901095918995,3.068598628085509e-05,0.022898045893743
FR,42,42.0,2.370625754874766,0.029386665385183763,0.02997022265693817,2.997022265693817,3.0567983511607055,-0.6630436159496322,6.386351085290309,1.804833250238279e-05,0.0123961638924893
FR,43,43.0,2.370625754874766,0.03265099826868143,0.033372567408519814,3.3372567408519815,3.402068739388797,-0.7364240704256786,7.1204670310075935,2.2769991757767414e-05,0.0137731559701233
FR,44,44.0,2.370625754874766,0.00047599782553808904,0.0004761487654629338,0.04761487654629338,0.04878346374133091,-0.010774996421292204,0.10032586409760569,3.48785096187125e-07,0.0002007899494719
FR,45,45.0,2.370625754874766,0.009054044635843597,0.009108886231870318,0.9108886231870317,0.9320096361575381,-0.2047543784317596,1.9256669276864313,7.696207006328553e-06,0.003819263591997
FR,46,46.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,47,47.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,48,48.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,49,49.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,50,50.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,51,51.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,52,52.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,53,53.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,54,54.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,55,55.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,56,56.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,57,57.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,58,58.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,59,59.0,2.370625754874766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,60,60.0,2.370625754874766,0.0046003698822130856,0.004614497185998425,0.4614497185998425,0.4724745900128946,-0.10408836647011199,0.9738432779275996,2.2196109790245897e-05,0.0019405719661795
FR,61,61.0,2.370625754874766,0.02097812152589294,0.0212742707278094,2.1274270727809403,2.172722157506901,-0.4737741240173343,4.518440575971661,0.0001134304986351552,0.0088491916038435
FR,62,62.0,2.370625754874766,0.037058513322139504,0.037990071865997614,3.7990071865997614,3.8700902299346973,-0.8354166498527271,8.119717175907537,0.00022239033923158037,0.0156323760702993
FR,63,63.0,2.370625754874766,0.04117563451324517,0.04232803256415769,4.232803256415768,4.309189045668882,-0.9277978149673793,9.061549237390242,0.0002673560713359574,0.0173690994576326
FR,64,64.0,2.370625754874766,0.04896431031266662,0.05060023620621237,5.060023620621238,5.144949902320439,-1.1023270528804252,10.865784947733959,0.0003336323929413482,0.0206545930803208
