age,country,year,mx,age_num,log_mx,a_xr_initial,y_centered_initial,a_xr,b_x,k_t,log_mx_hat_baseline,mx_hat_baseline,baseline_residual
47,IT,2009,0.00166,47.0,-6.400937676613685,-6.4787021755842575,0.07776449897057258,-6.4787021755842575,0.01798657493397922,6.991142300128128,-6.352955470728891,0.001741592297468916,-0.04798220588479385
48,IT,2009,0.00186,48.0,-6.287178791257027,-6.384418485536626,0.09723969427959922,-6.384418485536626,0.017220232470692053,6.991142300128128,-6.264029389892731,0.0019035601367958772,-0.023149401364295663
49,IT,2009,0.00217,49.0,-6.133028111429769,-6.2720432452744825,0.13901513384471365,-6.2720432452744825,0.016495468408212678,6.991142300128128,-6.1567210783254,0.002119190551951467,0.023692966895630718
50,IT,2009,0.00234,50.0,-6.057604349612527,-6.17507269333256,0.11746834372003345,-6.17507269333256,0.015773513858200243,6.991142300128128,-6.064797813376839,0.002323227692609052,0.007193463764312291
51,IT,2009,0.00254,51.0,-5.975591197951692,-6.088573872844203,0.11298267489251135,-6.088573872844203,0.015010303509196268,6.991142300128128,-5.9836347050433,0.002519651438595458,0.008043507091607616
52,IT,2009,0.00278,52.0,-5.885304351279592,-5.973943100096437,0.08863874881684541,-5.973943100096437,0.01375066533335655,6.991142300128128,-5.877810242029502,0.0028009118838157768,-0.007494109250089309
53,IT,2009,0.00298,53.0,-5.815831978464824,-5.893241669593349,0.07740969112852536,-5.893241669593349,0.01295815778978835,6.991142300128128,-5.802649344537425,0.0030195443256157604,-0.013182633927399046
54,IT,2009,0.00338,54.0,-5.68987956948721,-5.789458492776727,0.09957892328951701,-5.789458492776727,0.012093797968350164,6.991142300128128,-5.70490903023099,0.003329580262502398,0.015029460743780199
55,IT,2009,0.00357,55.0,-5.635189683190589,-5.70713256976226,0.07194288657167114,-5.70713256976226,0.011123008713019614,6.991142300128128,-5.629370033043975,0.003590836723434994,-0.005819650146613675
56,IT,2009,0.00401,56.0,-5.518964037663659,-5.601670953837083,0.0827069161734233,-5.601670953837083,0.0097378469097369,6.991142300128128,-5.533592280394249,0.003951767703138781,0.014628242730589491
57,IT,2009,0.00444,57.0,-5.417100902538004,-5.507107058032324,0.09000615549432034,-5.507107058032324,0.009929976269879456,6.991142300128128,-5.437685180892702,0.004349540024822394,0.020584278354697894
58,IT,2009,0.00462,58.0,-5.37736057388849,-5.419994586056584,0.042634012168093705,-5.419994586056584,0.00935670774989911,6.991142300128128,-5.354580510716327,0.004726451777574421,-0.022780063172162635
59,IT,2009,0.00532,59.0,-5.236281975628584,-5.324196182067058,0.08791420643847392,-5.324196182067058,0.008908196402758034,6.991142300128128,-5.261917713377887,0.005185351160430354,0.025635737749302834
60,IT,2009,0.00565,60.0,-5.176099733823787,-5.215864959071876,0.039765225248088676,-5.215864959071876,0.008778985536951035,6.991142300128128,-5.154489821932285,0.005773424798574259,-0.02160991189150252
61,IT,2009,0.00641,61.0,-5.049896008049559,-5.134373498820213,0.08447749077065403,-5.134373498820213,0.00800832928859658,6.991142300128128,-5.07838612917735,0.00622995525010452,0.028490121127791035
62,IT,2009,0.0069,62.0,-4.976233867378923,-5.0391959268163635,0.06296205943744049,-5.0391959268163635,0.007443410213112718,6.991142300128128,-4.987157986818265,0.006825033791292343,0.010924119439342128
63,IT,2009,0.0078,63.0,-4.853631545286591,-4.945108750201136,0.09147720491454514,-4.945108750201136,0.007222264733534511,6.991142300128128,-4.894616869719799,0.007486777085483786,0.04098532443320835
64,IT,2009,0.00879,64.0,-4.734140567285052,-4.857926103297212,0.1237855360121598,-4.857926103297212,0.007559181092484768,6.991142300128128,-4.805078792607213,0.008188055830689659,0.07093822532216087
65,IT,2009,0.00926,65.0,-4.682051230324049,-4.762246394716038,0.0801951643919887,-4.762246394716038,0.007919647211399497,6.991142300128128,-4.706879014094331,0.009032925267771802,0.02482778377028172
66,IT,2009,0.01008,66.0,-4.5972020163389145,-4.663371166665295,0.06616915032638016,-4.663371166665295,0.007934399503536919,6.991142300128128,-4.607900650670002,0.00997273259646292,0.010698634331087753
67,IT,2009,0.01098,67.0,-4.511679842900753,-4.575834168481627,0.06415432558087453,-4.575834168481627,0.008404693358453006,6.991142300128128,-4.51707576122374,0.010920912376175502,0.00539591832298747
68,IT,2009,0.01199,68.0,-4.4236823099427145,-4.487854187069511,0.06417187712679606,-4.487854187069511,0.009200825359483569,6.991142300128128,-4.423529907702734,0.011991827442106964,-0.00015240223998080893
69,IT,2009,0.01322,69.0,-4.3260244445585965,-4.391889527042951,0.06586508248435496,-4.391889527042951,0.009487510691631477,6.991142300128128,-4.325560989723769,0.01322612829290022,-0.0004634548348274592
70,IT,2009,0.01435,70.0,-4.244005336776507,-4.291435254219737,0.047429917443229996,-4.291435254219737,0.009992018752246168,6.991142300128128,-4.221579629257235,0.014675444424587084,-0.022425707519271754
