country,year,age,age_num,mx,log_mx,mx_hat_baseline,log_mx_hat_baseline,baseline_residual
ES,2004,52,52.0,0.00365,-5.613028111387737,0.0037435882171788937,-5.587710711143415,-0.025317400244322386
ES,2004,53,53.0,0.0039,-5.546778725846536,0.004033100563730781,-5.51321982818463,-0.033558897661906784
ES,2004,54,54.0,0.00415,-5.48464694473953,0.004383806183911071,-5.4298379401880075,-0.05480900455152238
ES,2004,55,55.0,0.00451,-5.40145812546755,0.0046577253653807315,-5.369228069030461,-0.03223005643708898
ES,2004,56,56.0,0.00499,-5.30031936921871,0.005032710258095953,-5.291796621274217,-0.008522747944493148
ES,2004,57,57.0,0.00525,-5.249527202378605,0.005502966446401462,-5.202467978251568,-0.04705922412703689
ES,2004,58,58.0,0.00554,-5.195760778222945,0.005860195056383034,-5.139572389874995,-0.056188388347949925
ES,2004,59,59.0,0.00629,-5.068794208269788,0.006367630665364556,-5.05652783065147,-0.012266377618317392
ES,2004,60,60.0,0.0068,-4.990832666800076,0.006941763466215882,-4.970199434981595,-0.02063323181848098
ES,2004,61,61.0,0.00728,-4.922624416773543,0.007317746073967399,-4.917452911816411,-0.005171504957131923
ES,2004,62,62.0,0.00756,-4.884884088790695,0.007898267016676726,-4.841111908550807,-0.04377218023988849
ES,2004,63,63.0,0.00837,-4.783101394480753,0.00848348405894276,-4.769634057549143,-0.013467336931610063
ES,2004,64,64.0,0.00937,-4.670242182731807,0.009199642867058277,-4.688590614478625,0.018348431746818328
ES,2004,65,65.0,0.01027,-4.57852825504167,0.010089283958926838,-4.596281412553333,0.017753157511663176
ES,2004,66,66.0,0.01185,-4.435427411400997,0.010917506066824251,-4.517387716907506,0.08196030550650946
ES,2004,67,67.0,0.01252,-4.380427913310185,0.012001715006804465,-4.422705722172126,0.042277808861941324
ES,2004,68,68.0,0.0134,-4.312500572025272,0.01313808919525351,-4.332239695430509,0.019739123405237535
ES,2004,69,69.0,0.01481,-4.21245265070243,0.014549982949123776,-4.23016545724685,0.01771280654442009
ES,2004,70,70.0,0.01658,-4.099558129274988,0.01599114079034498,-4.135720410694582,0.03616228141959432
ES,2004,71,71.0,0.01812,-4.0107389783673035,0.017709387764778678,-4.033660397814389,0.022921419447085256
ES,2004,72,72.0,0.02043,-3.8907508701526066,0.019841482574024637,-3.9199804534039586,0.029229583251352054
ES,2004,73,73.0,0.02261,-3.7893629926922583,0.021963656091187937,-3.8183661875287473,0.029003194836489055
ES,2004,74,74.0,0.02507,-3.686083366811935,0.024858967511306975,-3.6945367258896904,0.008453359077755351
ES,2004,75,75.0,0.02872,-3.550161534802114,0.02787562896642509,-3.580002485638473,0.02984095083635907
ES,2004,76,76.0,0.03205,-3.440458095615458,0.031185474038815397,-3.4678028682597017,0.027344772644243953
ES,2004,77,77.0,0.03626,-3.317040073655432,0.03527966217617768,-3.34444862339456,0.027408549739127874
ES,2004,78,78.0,0.04058,-3.2044799445844685,0.03960587988572587,-3.228777689781283,0.024297745196814713
ES,2004,79,79.0,0.04531,-3.09422752030309,0.04485504471833128,-3.1043192170182876,0.010091696715197607
ES,2004,80,80.0,0.05131,-2.9698696140282634,0.051282584071296954,-2.97040407623338,0.0005344622051164372
ES,2004,81,81.0,0.05758,-2.854579993798107,0.05751531092443473,-2.8557040896775554,0.0011240958794482836
ES,2004,82,82.0,0.06558,-2.7244845075656348,0.06501295569013714,-2.733168710637953,0.008684203072318208
ES,2004,83,83.0,0.07477,-2.593338543970313,0.07343777001255374,-2.611316897883729,0.01797835391341618
