country,year,age,age_num,a_xr,b_x,k_t_projection,lambda_xr,C_tr,log_mx_projected_baseline,mx_projected_baseline,climate_component,log_mx_projected_climate_adjusted,mx_projected_climate_adjusted,absolute_mx_impact,relative_mx_impact,relative_mx_impact_pct,k_projection_method
FR,2060,55,55.0,-5.326980568060005,0.0111230087130196,-63.417778637483934,0.0,4.520379565087179,-6.032377072405087,0.00239978273597025,0.0,-6.032377072405087,0.00239978273597025,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2030,55,55.0,-5.70713256976226,0.0111230087130196,-22.148074535000887,0.0,2.495873296736202,-5.953485795791683,0.0025967729036039384,0.0,-5.953485795791683,0.0025967729036039384,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2031,55,55.0,-5.70713256976226,0.0111230087130196,-23.523731338416837,0.0,2.1346002813848566,-5.968787238402203,0.0025573409840342807,0.0,-5.968787238402203,0.0025573409840342807,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2032,55,55.0,-5.70713256976226,0.0111230087130196,-24.899388141832787,0.0,1.6346362833749382,-5.984088681012723,0.002518507836994475,0.0,-5.984088681012723,0.002518507836994475,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2033,55,55.0,-5.70713256976226,0.0111230087130196,-26.275044945249192,0.0,2.796965534256325,-5.9993901236232485,0.0024802643701413957,0.0,-5.9993901236232485,0.0024802643701413957,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2034,55,55.0,-5.70713256976226,0.0111230087130196,-27.650701748665142,0.0,4.285348631878761,-6.014691566233769,0.0024426016291989074,0.0,-6.014691566233769,0.0024426016291989074,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2035,55,55.0,-5.70713256976226,0.0111230087130196,-29.026358552081092,0.0,1.1530699202280763,-6.029993008844289,0.0024055107958612623,0.0,-6.029993008844289,0.0024055107958612623,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2036,55,55.0,-5.70713256976226,0.0111230087130196,-30.402015355497497,0.0,3.644389684961992,-6.045294451454814,0.002368983185728419,0.0,-6.045294451454814,0.002368983185728419,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2037,55,55.0,-5.70713256976226,0.0111230087130196,-31.777672158913447,0.0,4.767634925157617,-6.060595894065335,0.0023330102462727296,0.0,-6.060595894065335,0.0023330102462727296,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
IT,2038,55,55.0,-5.70713256976226,0.0111230087130196,-33.1533289623294,0.0,5.510431749202038,-6.075897336675855,0.002297583554836394,0.0,-6.075897336675855,0.002297583554836394,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
