age,age_num,country,a_xr
56,56.0,IT,-5.601670953837083
57,57.0,ES,-5.361624095608647
57,57.0,FR,-5.172600340841025
57,57.0,IT,-5.507107058032324
58,58.0,ES,-5.289540248432316
58,58.0,FR,-5.102985875472896
58,58.0,IT,-5.419994586056584
59,59.0,ES,-5.19930701899836
59,59.0,FR,-5.0302681737194455
59,59.0,IT,-5.324196182067058
60,60.0,ES,-5.110907651640006
60,60.0,FR,-4.953982695108957
60,60.0,IT,-5.215864959071876
61,61.0,ES,-5.045809169822402
61,61.0,FR,-4.88408760242258
61,61.0,IT,-5.134373498820213
62,62.0,ES,-4.960413731356616
62,62.0,FR,-4.814965958824859
62,62.0,IT,-5.0391959268163635
63,63.0,ES,-4.885391394955979
63,63.0,FR,-4.748481591345951
63,63.0,IT,-4.945108750201136
64,64.0,ES,-4.809747994957796
64,64.0,FR,-4.690926505238551
64,64.0,IT,-4.857926103297212
65,65.0,ES,-4.723216287999865
65,65.0,FR,-4.619343757405519
65,65.0,IT,-4.762246394716038
66,66.0,ES,-4.644559039801131
66,66.0,FR,-4.560324136429761
66,66.0,IT,-4.663371166665295
67,67.0,ES,-4.557414841927601
67,67.0,FR,-4.495665688730098
67,67.0,IT,-4.575834168481627
68,68.0,ES,-4.4797090952454734
68,68.0,FR,-4.417567476370841
68,68.0,IT,-4.487854187069511
69,69.0,ES,-4.382229805038305
69,69.0,FR,-4.348424688891062
69,69.0,IT,-4.391889527042951
70,70.0,ES,-4.295870935322768
70,70.0,FR,-4.270002935234258
70,70.0,IT,-4.291435254219737
71,71.0,ES,-4.202390723867514
71,71.0,FR,-4.192617050716458
71,71.0,IT,-4.186727063116378
72,72.0,ES,-4.105247951290851
72,72.0,FR,-4.107034005143146
72,72.0,IT,-4.0851712958374184
73,73.0,ES,-4.0058509251784455
73,73.0,FR,-4.021059358227231
73,73.0,IT,-3.9810533490046245
74,74.0,ES,-3.8921275147904475
74,74.0,FR,-3.933318769422809
74,74.0,IT,-3.868654925201927
75,75.0,ES,-3.783491560567625
75,75.0,FR,-3.8366256838237844
75,75.0,IT,-3.761860417848466
76,76.0,ES,-3.675502488423401
76,76.0,FR,-3.732175490169328
76,76.0,IT,-3.642511729493465
77,77.0,ES,-3.556312797152416
77,77.0,FR,-3.630336016335675
77,77.0,IT,-3.5287998488751007
78,78.0,ES,-3.4390698671831883
78,78.0,FR,-3.5209399877050602
78,78.0,IT,-3.4063348187809064
79,79.0,ES,-3.311352573991767
79,79.0,FR,-3.403718433545346
79,79.0,IT,-3.2760880840813775
80,80.0,ES,-3.184564341600823
80,80.0,FR,-3.2760506992837977
80,80.0,IT,-3.147688530125818
81,81.0,ES,-3.057863262918503
81,81.0,FR,-3.1503092060021
81,81.0,IT,-3.019397697716698
82,82.0,ES,-2.9290846642073762
82,82.0,FR,-3.0292100300712823
82,82.0,IT,-2.885073744863876
83,83.0,ES,-2.7973309766042154
83,83.0,FR,-2.8995439302807133
83,83.0,IT,-2.7555804996782363
84,84.0,ES,-2.666186175006246
84,84.0,FR,-2.7677715987687788
84,84.0,IT,-2.624584815273864
85,85.0,ES,-2.530191560187631
85,85.0,FR,-2.636244978741484
85,85.0,IT,-2.493317042723466
