experiment_type,experiment_name,experiment_code,country,year,mean_C_tr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
component_exclusion,E2_excl_temp_anomaly,E2,IT,2055,4.042611676881474,0.03938877060835896,0.041473756770599,4.1473756770599,1.7387060109063213,0.0,22.827440703865108,0.21493675246710203,0.001987511276626081
component_exclusion,E2_excl_temp_anomaly,E2,IT,2056,5.0091915531132845,0.04880654210426486,0.05204086399715521,5.204086399715521,2.159080754123399,0.0,29.01664499790413,0.4983549912475786,0.004472333860539024
component_exclusion,E2_excl_temp_anomaly,E2,IT,2057,4.895137917827338,0.04769527225289168,0.05078022706639028,5.078022706639028,2.109383582772939,0.0,28.270404852412987,0.3589543178885497,0.0032426250210269825
component_exclusion,E2_excl_temp_anomaly,E2,IT,2058,4.754008885569274,0.046320196059058294,0.04922545570496602,4.922545570496602,2.047923626148429,0.0,27.352985584609524,0.23142275524939365,0.0021157629895323738
component_exclusion,E2_excl_temp_anomaly,E2,IT,2059,4.660116540605908,0.04540536566394702,0.04819420718346717,4.819420718346716,2.0070560477006505,0.0,26.746269484678663,-0.023523984721016203,-0.00014555180430053866
component_exclusion,E2_excl_temp_anomaly,E2,IT,2060,5.395132092941056,0.052566914014007406,0.056334348035238846,5.633434803523884,2.327435858770721,0.0,31.5741607167922,0.07274021600643844,0.0007161723342501951
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2030,1.2959463759592613,0.0016206172819261365,0.0016352653883008024,0.16352653883008025,0.0,0.0,3.0940454290255825,-0.21969707800087562,-0.002152433276428399
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2031,1.6986524800661356,0.002124212557131614,0.0021494427725313433,0.21494427725313434,0.0,0.0,4.0748570416692775,-0.14976598912304648,-0.0014692407842341827
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2032,2.0617877120916006,0.0025783233472182142,0.0026155794404990875,0.2615579440499088,0.0,0.0,4.967290146947545,-0.14196637995202516,-0.0013913566724943476
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2033,1.7960413177013976,0.0022460000294115363,0.0022742235969294986,0.22742235969294985,0.0,0.0,4.313450430766563,-0.17331988302341303,-0.001696752136133397
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2034,3.865752282232363,0.0048342316259759426,0.004966713222944239,0.49667132229442384,0.0,0.0,9.515402840104525,-0.055953266766268196,-0.0005698561679940633
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2035,-0.1373552046003863,-0.0001717665348407008,-0.00017160346194126973,-0.01716034619412697,0.0,-0.3224408579373117,0.0,-0.16967445724600197,-0.0016874366008246728
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2036,3.5090802979883513,0.004388203308471776,0.004497118105730536,0.4497118105730536,0.0,0.0,8.600804400929253,-0.1964253996898893,-0.001906855097261951
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2037,1.6156472990951671,0.002020412250833149,0.0020432249775809053,0.20432249775809053,0.0,0.0,3.8719330717856604,-0.14446632125543202,-0.0014183738077759118
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2038,3.5070591471198167,0.0043856758026368965,0.004494463770800121,0.4494463770800121,0.0,0.0,8.595643476295777,-0.037710741001239056,-0.0003906918768321444
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2039,1.7242635157209416,0.0021562398753603358,0.0021822408402556144,0.21822408402556145,0.0,0.0,4.137548705471694,-0.11484596985597746,-0.001129653268713502
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2040,1.737674456954395,0.002173010633420246,0.0021994198694741296,0.21994198694741296,0.0,0.0,4.1703915789073065,-0.1722231090240036,-0.001686685189857758
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2041,1.8276712227287626,0.0022855541125618426,0.0023147863644451404,0.23147863644451405,0.0,0.0,4.391058301006812,-0.1638395459410432,-0.0016046811033775714
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2042,2.1300846223230114,0.0026637305485318137,0.002703512942551186,0.2703512942551186,0.0,0.0,5.135988117551715,-0.18140936789023618,-0.0017718766821695148
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2043,4.272865706253453,0.005343338378316938,0.005505614515854582,0.5505614515854581,0.0,0.0,10.568763200570807,-0.16973914601710524,-0.0016536534565200593
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2044,3.053457579181943,0.00381843432278417,0.003900663336057101,0.3900663336057101,0.0,0.0,7.443572887347227,-0.15357997266793208,-0.0014997609869414332
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2045,2.9311963147365674,0.003665543183346664,0.0037412602334779763,0.37412602334779765,0.0,0.0,7.135146661522507,-0.10586476198593424,-0.0010419123113423081
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2046,3.3153962298431523,0.004145995950287276,0.004243099626286581,0.42430996262865806,0.0,0.0,8.107352901128962,-0.14848542354093183,-0.0014508359103953925
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2047,3.8948405262871293,0.004870607290810952,0.00500511508544403,0.5005115085444031,0.0,0.0,9.590331384912854,-0.09289452791217923,-0.0009228524902447961
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2048,1.8249276579953868,0.0022821232079322427,0.002311267257456636,0.2311267257456636,0.0,0.0,4.384324340484902,-0.17716445697429445,-0.0017336814160485675
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2049,1.6005463328931944,0.0020015280691612143,0.00202391420562751,0.20239142056275103,0.0,0.0,3.8350580817421154,-0.06157243837183611,-0.0006098810073341733
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2050,0.707069282181566,0.000884209963837713,0.0008885542623956668,0.08885542623956667,0.0,0.0,1.6764212588634475,-0.1893758517968513,-0.0018667591215361108
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2051,3.3286547125514496,0.004162576054686489,0.004260466190107129,0.4260466190107129,0.0,0.0,8.141060112014276,-0.06797376333565355,-0.0006797524876392762
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2052,1.7570380781387265,0.0021972253846739547,0.00222422978349978,0.22242297834997804,0.0,0.0,4.217830609539264,-0.16389228387944604,-0.001605791063209608
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2053,3.767479750695534,0.004711339069693025,0.004837091737911897,0.48370917379118966,0.0,0.0,9.262640858623827,-0.0919048414832254,-0.0009124018552611649
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2054,2.672770867036658,0.003342374914658101,0.0034052262753895618,0.3405226275389562,0.0,0.0,6.486131985560362,-0.1435032414278912,-0.0014038872099531054
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2055,3.6751437553335506,0.0045958703183593,0.004715464046212175,0.47154640462121744,0.0,0.0,9.025679555243492,-0.1405940417759167,-0.0013760386404690465
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2056,3.644568298878666,0.004557634852715988,0.004675224017785,0.4675224017785,0.0,0.0,8.947327262052918,-0.15017443557849974,-0.0014671488710095654
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2057,3.1057035521810565,0.0038837693770148946,0.003968864670174183,0.3968864670174183,0.0,0.0,7.575643474287896,-0.04985105082975497,-0.000503401972802388
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2058,2.1796566114161893,0.0027257217109087233,0.0027673903858532645,0.27673903858532645,0.0,0.0,5.258604058517147,-0.06571326581904076,-0.0006514537674994663
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2059,4.884555467138389,0.00610827357629812,0.0063211687012718655,0.6321168701271864,0.0,0.0,12.17052011930344,-0.043235220166501276,-0.00046378628571321095
component_exclusion,E3_excl_extreme_heat_days,E3,ES,2060,4.494544668671919,0.005620554136776772,0.005800359632320402,0.5800359632320402,0.0,0.0,11.14658686572929,-0.04803723607603762,-0.0005029089219971435
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2030,0.6112564776447617,0.010474302401735145,0.010580336498163825,1.0580336498163825,0.9038507339422797,0.0,3.1658383777415366,-2.641626697676765,-0.025320723766815843
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2031,0.9490251005778598,0.016262201308018812,0.016518892285263664,1.6518892285263667,1.4068016902008318,0.0,4.958012310570603,-1.8365488505734113,-0.017551448626138628
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2032,0.7205162912149792,0.012346544855674022,0.012494076852667763,1.2494076852667764,1.066269358058558,0.0,3.7421885221348816,-2.6572301256754813,-0.025383033090996012
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2033,0.7759791035336917,0.013296938494879744,0.013468177796772484,1.3468177796772487,1.148816845113254,0.0,4.035988165265136,-3.7262841609639623,-0.03520769875201898
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2034,1.2514278745544938,0.021444081938485734,0.02189213900588085,2.1892139005880846,1.859218466251411,0.0,6.58893609500244,-0.9288856656178277,-0.008878017082252863
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2035,-0.5826325135866967,-0.009983810985372907,-0.009888911125614783,-0.9888911125614782,-0.8539862253146957,-2.9271123521236175,0.0,0.02888026759516554,0.00028973288008482523
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2036,0.8795119131736038,0.015071044776498487,0.01529131518373235,1.529131518373235,1.3030892757448398,0.0,4.586654045397354,-4.184083729340127,-0.039256453745830096
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2037,-0.30012668046587004,-0.005142878194340226,-0.005117607153878222,-0.5117607153878222,-0.4408217032704387,-1.518677329133189,0.0,-0.9555093609930061,-0.009562447503490742
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2038,4.652807442411481,0.0797290727398795,0.08620015534392356,8.620015534392357,7.089130817734334,0.0,26.77501151591406,-1.835177691020315,-0.015874669319312414
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2039,1.8670295572891888,0.031992842433957384,0.03299798810659371,3.2997988106593708,2.7864512956162324,0.0,9.987735648138042,-1.0339510625354904,-0.00970709086787481
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2040,1.95394308519504,0.03348216583155187,0.03458429505339733,3.4584295053397325,2.918040702778535,0.0,10.476246314095693,-0.6474103103094365,-0.006102783306378513
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2041,1.1773425276000054,0.02017457829162253,0.020570782154258303,2.0570782154258302,1.7481949793740958,0.0,6.187048919734139,-1.0160551204182604,-0.009722044510723421
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2042,3.0195481778741007,0.05174204591422331,0.05441032055868744,5.441032055868745,4.545158441579589,0.0,16.64499312193941,-3.1423678231966314,-0.027946465118641572
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2043,2.575450156129856,0.044132119237151914,0.04606218485447222,4.606218485447223,3.8639423921204785,0.0,14.033332105672569,-2.933296523414373,-0.02647057912864049
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2044,1.0898156352635955,0.018674744470395577,0.019013851380303384,1.9013851380303386,1.6171840967141304,0.0,5.714198219960198,-3.945471088045974,-0.03686053988364027
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2045,2.4706142476478092,0.042335683455836964,0.04410942897260062,4.410942897260062,3.7037800661794185,0.0,13.425391206820759,-2.4679648626702475,-0.022436669866272685
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2046,2.8169993676710288,0.04827123199769317,0.05058749315646479,5.0587493156464785,4.233909864688101,0.0,15.44650206505398,-2.192773000964724,-0.019797496767028844
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2047,1.7923490607086512,0.030713140486731728,0.03163860090240175,3.163860090240175,2.6735174519590066,0.0,9.569708416660138,-1.690387738189961,-0.01578616528046229
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2048,0.2005370512100346,0.003436341035140521,0.003447694723741731,0.3447694723741731,0.2956333698608482,0.0,1.0277716510559642,-1.5947439895346056,-0.015622167582145107
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2049,0.34250798084030465,0.005869111081083693,0.005902290312933511,0.5902290312933511,0.505456423057693,0.0,1.7617661586674993,0.4325097437678478,0.004294188926586084
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2050,-0.14071466290986462,-0.0024112430470351796,-0.0024056768075435856,-0.24056768075435858,-0.20692220376589132,-0.7149274884653001,0.0,-1.5743423192874746,-0.015588724323501443
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2051,2.880148960218623,0.04935334393119528,0.051776586205716166,5.177658620571616,4.330849729907394,0.0,15.818834143793614,-2.5615327630218503,-0.02299925640903334
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2052,0.743099643061712,0.01273352620497423,0.012890496257188432,1.289049625718843,1.0998729143735786,0.0,3.8617176109081885,-2.3519135072060817,-0.02251161584187944
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2053,2.5905857608922016,0.04439147829036768,0.04634467565386952,4.634467565386952,3.887086135302542,0.0,14.121371879731392,-1.7350576116638907,-0.015841611363726166
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2054,1.8547805762432084,0.031782947674096396,0.03277479262108074,3.2774792621080735,2.7679195447462446,0.0,9.919062281538093,-2.188520494493591,-0.020303172378051317
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2055,1.8756178685528437,0.03214000908590415,0.03315453457975868,3.315453457975867,2.799446732524513,0.0,10.035911218279004,-4.21290110448902,-0.03836471399359969
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2056,2.465435775166031,0.04224694674917301,0.04401314708514633,4.401314708514633,3.695875096530321,0.0,13.395445514809001,-3.5140816802773327,-0.031645132977256046
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2057,0.13618688763445222,0.0023336564869311394,0.0023388884700028434,0.2338888470002843,0.20067270572715623,0.0,0.6968251020877059,-0.9950950227891618,-0.00981995227908577
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2058,0.8033279784211024,0.013765580376634065,0.013949166360805662,1.3949166360805663,1.1895460733551744,0.0,4.181167779941641,-0.3619711232960881,-0.0035265229969513676
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2059,2.7102382808544196,0.04644180695443834,0.04858288623103047,4.858288623103047,4.070227589909803,0.0,14.819755515747278,-2.1759007009616824,-0.019706720357210366
component_exclusion,E3_excl_extreme_heat_days,E3,FR,2060,3.756667434748946,0.06437309406670841,0.06854264584778903,6.854264584778903,5.685727602949086,0.0,21.11255613146239,-2.5276372281030364,-0.0221628666919114
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2030,1.2151342602426163,0.012959994224094632,0.013206757131513529,1.320675713151353,0.14573645728790385,0.0,6.7145368305352005,-1.4404395221473363,-0.013686540217549975
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2031,0.7267038123169461,0.007750647412718606,0.007838367763176726,0.7838367763176725,0.08711540872738954,0.0,3.963034256154341,-1.5653720922453642,-0.015038850752691546
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2032,0.6707362595862143,0.007153726410769263,0.007228403355695324,0.7228403355695324,0.08040178241094376,0.0,3.6523143795762714,-1.063297255941084,-0.01029803769980128
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2033,1.1450556471081397,0.012212571942318095,0.012431501431230793,1.2431501431230794,0.13732225246091412,0.0,6.3153289831394455,-1.8645255570464505,-0.017648494538145713
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2034,3.422034127012374,0.03649764801453311,0.03850992370285645,3.8509923702856454,0.4113025748294086,0.0,20.083304371453558,-1.0146046897367722,-0.009253748926623857
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2035,0.3181876881095995,0.0033936254906145806,0.003410357470720752,0.34103574707207523,0.03812837649587175,0.0,1.7162771524877884,-0.9102767657049816,-0.008916822072232728
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2036,1.8223640063905886,0.019436392972990817,0.01999564267311902,1.999564267311902,0.21869343081221126,0.0,10.237038971113122,-2.099745085450664,-0.019471974445380593
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2037,3.061169529016824,0.03264885265197887,0.03425173674020534,3.4251736740205336,0.3678000859451136,0.0,17.787967783008774,-2.0264581538895516,-0.018251546981499642
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2038,4.463439537630007,0.047604740085042806,0.051074011729836485,5.107401172983648,0.5370162192074535,0.0,26.961212797159106,-1.263035068685298,-0.01122593436684364
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2039,3.3457306082660243,0.035683834105580084,0.03760550569807278,3.7605505698072776,0.40210158287450337,0.0,19.5942637455476,-1.4676742360343444,-0.013262157304408084
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2040,2.512277608282007,0.02679465500886813,0.027866778402621025,2.786677840262102,0.3016893191912784,0.0,14.380494471858828,-1.5585265288675683,-0.014323416713635889
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2041,2.278190504152355,0.024298002896656592,0.02517703894412617,2.517703894412617,0.2735163937249263,0.0,12.957453715505828,-1.7439038334146644,-0.01607031801629803
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2042,1.0272704731568187,0.010956336130327808,0.011132283199425467,1.1132283199425466,0.12318259658191666,0.0,5.647718829801729,-1.1556554479338896,-0.011076345892284302
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2043,1.5250674339344137,0.016265581328600287,0.016655787246694354,1.6655787246694354,0.18296330003909622,0.0,8.498145465154415,-1.511883538184898,-0.014239449770078223
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2044,1.3524552903450358,0.014424589384648122,0.014730801917016876,1.4730801917016874,0.16222765732623046,0.0,7.5011477167612695,-1.7065850015842963,-0.01610075140941048
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2045,0.9802596691072937,0.010454943182333533,0.010615061112149523,1.0615061112149524,0.11754003551511794,0.0,5.382432088010192,-1.4351512537528912,-0.013719825830318274
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2046,3.623410604564018,0.03864542548351563,0.04090729620762974,4.090729620762975,0.43559194145241786,0.0,21.383580854839714,-1.3702205260106208,-0.012336267415176124
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2047,2.963614716138111,0.03160838341923061,0.03310887473762003,3.3108874737620027,0.3560450279653016,0.0,17.17502383116072,-1.2602494015821988,-0.011528426994254595
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2048,2.7621181382038027,0.029459325021616124,0.030759392734760083,3.075939273476008,0.3317723681981799,0.0,15.919085382376718,-1.4228353059914465,-0.013032117835252183
component_exclusion,E3_excl_extreme_heat_days,E3,IT,2049,1.4517612948772336,0.01548373592282427,0.015837006443722036,1.5837006443722035,0.17415629068834315,0.0,8.073608813396383,-1.3205532128478812,-0.012493848531628729
