country,year,source,scenario,period_type,temp_anomaly,extreme_heat_days,heatwave_duration,z_temp_anomaly,z_extreme_heat_days,z_heatwave_duration,C_tr_core,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration,C_tr_definition,standardization_period,standardization_source
FR,2012,ERA5,historical,historical,-0.4612690741180589,13,0,-0.7703654492928468,-0.5169563229005812,-0.6589578174675967,-0.5818382976357359,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2013,ERA5,historical,historical,-0.8055309278945817,20,0,-1.3453171478562345,0.16581617904358256,-0.6589578174675967,-0.2188878859874988,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2014,ERA5,historical,historical,0.4516822970373422,2,0,0.7543545735427699,-1.5898845402414101,-0.6589578174675967,-1.0279440452071928,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2015,ERA5,historical,historical,0.2149411852117566,24,8,0.3589732587943051,0.5559718944402476,0.43930521164506453,0.5049054990315408,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2016,ERA5,historical,historical,-0.1572483827839104,19,0,-0.2626205133858512,0.06827725019441631,-0.6589578174675967,-0.07062580928783851,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2017,ERA5,historical,historical,0.0350295560846589,17,0,0.05850285923304746,-0.1268006075039162,-0.6589578174675967,-0.1429556351528915,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2018,ERA5,historical,historical,0.5073311344849731,27,10,0.8472936931768699,0.8485886809877464,0.7138709689232299,0.8348579122191194,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2019,ERA5,historical,historical,0.2889431309678958,24,6,0.48256390336542165,0.5559718944402476,0.1647394543668992,0.5021670522179476,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2022,ERA5,historical,historical,1.1119691599161,36,22,1.8570996183006787,1.7264390406302428,2.3612655125922215,1.8160538033605278,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2023,ERA5,historical,historical,0.9404124577919896,30,17,1.570582781758515,1.1412054675352452,1.6748511193968083,1.2804454955660556,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2024,ERA5,historical,historical,0.4560054067108758,20,0,0.7615745987143286,0.16581617904358256,-0.6589578174675967,0.2024904633266138,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
FR,2025,ERA5,historical,historical,0.6116403947297062,41,18,1.0215005816128189,2.214133684876074,1.812133998035891,1.9354070955394047,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2004,ERA5,historical,historical,-0.6680671532064508,2,0,-1.2123769095357995,-1.2501161642394278,-1.032258064516129,-1.2207825033263722,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2005,ERA5,historical,historical,-1.0995275227002637,8,0,-1.9953709346775084,-0.7899507050101907,-1.032258064516129,-1.055265486894248,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2006,ERA5,historical,historical,-0.4022627569799724,14,12,-0.7300075685325892,-0.3297852457809534,-0.06451612903225812,-0.38330279865641104,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2007,ERA5,historical,historical,-0.2040754677608269,13,9,-0.3703465792749233,-0.4064794889858263,-0.30645161290322587,-0.3892501194353856,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2008,ERA5,historical,historical,-0.3058191833701187,6,0,-0.5549862983556236,-0.9433391914199364,-1.032258064516129,-0.8745605001166931,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2009,ERA5,historical,historical,-0.2237068642781636,15,7,-0.40597271614653424,-0.2530910025760805,-0.467741935483871,-0.3051324385809503,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2010,ERA5,historical,historical,-0.8612399843913128,8,0,-1.562937895739247,-0.7899507050101907,-1.032258064516129,-0.9687788791065958,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2011,ERA5,historical,historical,-0.1628826857892971,12,9,-0.29559185220575396,-0.48317373219069915,-0.30645161290322587,-0.42798514426496276,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2012,ERA5,historical,historical,-0.0989789341129832,29,19,-0.17962232340431258,0.8206284022921397,0.49999999999999994,0.5885154169236353,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2013,ERA5,historical,historical,-0.3570949765181694,13,8,-0.6480392007958363,-0.4064794889858263,-0.38709677419354843,-0.4528531598686005,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2014,ERA5,historical,historical,0.1905272765144694,0,0,0.34575995777403606,-1.4035046506491737,-1.032258064516129,-1.0165270703512272,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2015,ERA5,historical,historical,0.2038868491142267,30,18,0.3700042830091185,0.8973226454970126,0.4193548387096773,0.7440621923207003,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2016,ERA5,historical,historical,0.0339112728993207,3,0,0.06154058621019587,-1.1734219210345551,-1.032258064516129,-0.9123130339337623,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2017,ERA5,historical,historical,-0.0404566267069395,25,18,-0.07341878705125779,0.5138514294726482,0.4193548387096773,0.3869477270915699,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2018,ERA5,historical,historical,0.389178721820846,16,16,0.7062632757106058,-0.17639675937120766,0.2580645161290322,0.04358137519517902,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2019,ERA5,historical,historical,0.2350665466543962,23,7,0.42658773448189263,0.36046294306290244,-0.467741935483871,0.29086741349202316,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2022,ERA5,historical,historical,0.8452978584196522,39,32,1.5340068738738706,1.5875708343408685,1.5483870967741935,1.5729396684908015,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2023,ERA5,historical,historical,0.7959513300367362,28,27,1.4444551105667587,0.7439341590872668,1.1451612903225805,0.9241610625066965,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2024,ERA5,historical,historical,0.992820246027332,51,45,1.8017235779757266,2.5079017527993432,2.5967741935483875,2.3755533619095246,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
IT,2025,ERA5,historical,historical,0.7374720543275473,31,29,1.3383296661171815,0.9740168887018854,1.3064516129032258,1.0801229166050785,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
