country,year,source,scenario,period_type,annual_mean_daily_tmax_c,annual_max_daily_tmax_c,extreme_heat_days_30c,extreme_heat_days_p95,heatwave_days_p95_6d,threshold_p95_c,fixed_threshold_c,min_heatwave_length_days
IT,2010,ERA5,historical,historical,16.524463665252114,28.86750791947102,0,8,0,27.22347303705047,30.0,6
IT,2011,ERA5,historical,historical,17.43971573198659,29.03975797714088,0,12,9,27.22347303705047,30.0,6
IT,2012,ERA5,historical,historical,17.509915623585268,29.484116153515536,0,29,19,27.22347303705047,30.0,6
IT,2013,ERA5,historical,historical,17.089420645116398,29.539219762843974,0,13,8,27.22347303705047,30.0,6
IT,2014,ERA5,historical,historical,17.59654974590467,26.84025109044218,0,0,0,27.22347303705047,30.0,6
IT,2015,ERA5,historical,historical,17.780752196216916,29.78873558487308,0,30,18,27.22347303705047,30.0,6
IT,2016,ERA5,historical,historical,17.544014715137312,27.930404102430987,0,3,0,27.22347303705047,30.0,6
IT,2017,ERA5,historical,historical,17.64814157610853,30.696547171440816,3,25,18,27.22347303705047,30.0,6
IT,2018,ERA5,historical,historical,17.84821035799194,28.533831632184697,0,16,16,27.22347303705047,30.0,6
IT,2019,ERA5,historical,historical,17.80341841398262,28.95248239952213,0,23,7,27.22347303705047,30.0,6
IT,2022,ERA5,historical,historical,18.521408639878956,29.94236479009055,0,39,32,27.22347303705047,30.0,6
IT,2023,ERA5,historical,historical,18.377885842235642,30.3337581018992,4,28,27,27.22347303705047,30.0,6
IT,2024,ERA5,historical,historical,18.59919601420688,30.573179539068335,3,51,45,27.22347303705047,30.0,6
IT,2025,ERA5,historical,historical,18.320940946241763,29.3005316980821,0,31,29,27.22347303705047,30.0,6
IT,2030,CMIP6,ssp5_8_5,projection,18.13205260217782,32.75896847744166,25,58,44,27.22347303705047,30.0,6
IT,2031,CMIP6,ssp5_8_5,projection,17.776503492884906,31.9636803302058,15,54,46,27.22347303705047,30.0,6
IT,2032,CMIP6,ssp5_8_5,projection,17.899340541348113,33.534836101976516,10,45,39,27.22347303705047,30.0,6
IT,2033,CMIP6,ssp5_8_5,projection,18.06316485464933,34.09222405714234,31,64,54,27.22347303705047,30.0,6
IT,2034,CMIP6,ssp5_8_5,projection,19.44840598391507,34.74661958099199,50,79,76,27.22347303705047,30.0,6
IT,2035,CMIP6,ssp5_8_5,projection,17.51966983378236,31.834011052168293,16,38,37,27.22347303705047,30.0,6
IT,2036,CMIP6,ssp5_8_5,projection,18.183934952953116,34.412962380045514,29,76,69,27.22347303705047,30.0,6
IT,2037,CMIP6,ssp5_8_5,projection,18.821057851568373,34.01422459653288,42,90,87,27.22347303705047,30.0,6
IT,2038,CMIP6,ssp5_8_5,projection,19.790916217453955,33.155670073146,55,96,96,27.22347303705047,30.0,6
IT,2039,CMIP6,ssp5_8_5,projection,19.230810687264178,34.09500148807051,45,85,79,27.22347303705047,30.0,6
IT,2040,CMIP6,ssp5_8_5,projection,18.601952712048277,33.932041520063855,24,76,71,27.22347303705047,30.0,6
IT,2041,CMIP6,ssp5_8_5,projection,18.499541332629004,32.780239681327316,17,76,68,27.22347303705047,30.0,6
IT,2042,CMIP6,ssp5_8_5,projection,17.975753782051182,32.72007675012533,21,51,46,27.22347303705047,30.0,6
IT,2043,CMIP6,ssp5_8_5,projection,18.213066595025644,35.52200238559079,30,63,58,27.22347303705047,30.0,6
IT,2044,CMIP6,ssp5_8_5,projection,18.309411773123216,33.763443058691244,26,64,44,27.22347303705047,30.0,6
IT,2045,CMIP6,ssp5_8_5,projection,18.034214975812482,31.98427345363492,21,55,40,27.22347303705047,30.0,6
IT,2046,CMIP6,ssp5_8_5,projection,19.27086898574012,33.71532050740787,55,87,83,27.22347303705047,30.0,6
IT,2047,CMIP6,ssp5_8_5,projection,18.970055654222303,34.437967844479374,42,77,75,27.22347303705047,30.0,6
IT,2048,CMIP6,ssp5_8_5,projection,18.832734337684386,35.79533015135812,35,77,74,27.22347303705047,30.0,6
IT,2049,CMIP6,ssp5_8_5,projection,18.349765828119434,31.97084998999633,12,59,46,27.22347303705047,30.0,6
IT,2050,CMIP6,ssp5_8_5,projection,18.767568472129202,35.88166582145254,60,78,68,27.22347303705047,30.0,6
IT,2051,CMIP6,ssp5_8_5,projection,18.798056237299843,34.498003265636896,48,84,84,27.22347303705047,30.0,6
IT,2052,CMIP6,ssp5_8_5,projection,18.195340437540963,33.774375420179524,30,75,75,27.22347303705047,30.0,6
IT,2053,CMIP6,ssp5_8_5,projection,19.153076145615987,33.392194046965,26,84,84,27.22347303705047,30.0,6
IT,2054,CMIP6,ssp5_8_5,projection,18.796552862430715,32.54901474052848,31,74,70,27.22347303705047,30.0,6
IT,2055,CMIP6,ssp5_8_5,projection,18.6574635618452,35.202237288009066,40,71,63,27.22347303705047,30.0,6
IT,2056,CMIP6,ssp5_8_5,projection,18.238238074251093,34.69678410501462,27,83,79,27.22347303705047,30.0,6
IT,2057,CMIP6,ssp5_8_5,projection,18.47888923535788,33.32582592181007,41,81,81,27.22347303705047,30.0,6
IT,2058,CMIP6,ssp5_8_5,projection,18.821296097732937,35.764632823616,43,81,67,27.22347303705047,30.0,6
IT,2059,CMIP6,ssp5_8_5,projection,19.523400712378354,34.55522704798378,57,79,71,27.22347303705047,30.0,6
IT,2060,CMIP6,ssp5_8_5,projection,19.43918029774912,34.945354045146345,54,88,84,27.22347303705047,30.0,6
